TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
17 Ma-H	Mytilus trossulus Gould	Mytilus edulis Linnaeus	Genus, 72N-33.5N
17 Ma-H	Mytilus trossulus Gould (Coan et al., 2000, p. 159)	Mytilus (Mytilus) edulis Linnaeus	72N-33.5N; intertidal on rocks
			
8-1.6 Ma	Nanochlamys nutteri (Arnold) 8-1.6 Ma	Swiftopecten nutteri (Arnold)	Genus not living
8-1.6 Ma	Nanochlamys nutteri (Arnold) 8-1.6 Ma	Chlamys nutteri Arnold	Genus not living
8-1.6 Ma	Nanochlamys nutteri (Arnold) 8-1.6 Ma	Pecten nutteri Arnold	Genus not living
8-1.6 Ma	Nanochlamys nutteri (Arnold) 8-1.6 Ma	Pecten (Pallium) swiftii bernardi var. nutteri	Genus not living
		Arnold (?)	
8-1.6 Ma	Nanochlamys nutteri (Arnold) 8-1.6 Ma	Pecten (Pallium) swiftii bernardi nutteri Arnold	Genus not living
23-17 Ma	Nassarius (Catilon?) antiselli (Anderson and	Nassa antiselli Anderson and Martin	Subgenus, 39N-5N
	Martin)		
23-17 Ma	Nassarius (Catilon?) antiselli (Anderson and	Nassarius antiselli (Anderson and Martin)	Subgenus, 39N-5N
	Martin)		
17-13 Ma	Nassarius (Arcularia) harrellensis Addicott	Nassarius (Phrontis) harrellensis Addicott	Subgenus, 24N-3S, through Gulf of California
23-13 Ma	Nassarius (Arcularia) ocoyanus (Anderson and	Nassa blakei Anderson and Martin	Subgenus, 24N-3S, through Gulf of California
	Martin)		
23-13 Ma	Nassarius (Arcularia) ocoyanus (Anderson and	Nassa ocoyana Anderson and Martin	Subgenus, 24N-3S, through Gulf of California
	Martin)		
23-13 Ma	Nassarius (Arcularia) ocoyanus (Anderson and	Nassarius (Phrontis) ocoyanus (Anderson and	Subgenus, 24N-3S, through Gulf of California
	Martin)	Martin)	
23-13 Ma	Nassarius (Arcularia) ocoyanus (Anderson and Martin)	Nassarius blakei (Anderson and Martin)	Subgenus, 24N-3S, through Gulf of California
			
23-13 Ma	Nassarius (Arcularia) ocoyanus (Anderson and Martin)	Nassarius ocoyana (Anderson and Martin)	Subgenus, 24N-3S, through Gulf of California
			
23-13 Ma	Nassarius (Arcularia) ocoyanus (Anderson and Martin)	Nassarius ocoyanus (Anderson and Martin)	Subgenus, 24N-3S, through Gulf of California
			
17-13 Ma	Nassarius (Arcularia) posoensis Addicott	Nassarius (Phrontis?) posoensis Addicott	Subgenus, 24N-3S, through Gulf of California
17-13 Ma	Nassarius (Arcularia) smooti Addicott	Nassarius (Phrontis) smooti Addicott	Subgenus, 24N-3S, through Gulf of California
8 Ma-H	Nassarius (Caesia) aff. N. (C.) perpinguis (Hinds)	Nassa aff. N. perpinguis Hinds	48N-28N; intertidal, in lagoons, and offshore in
			shallow water
8 Ma-H	Nassarius (Caesia) cf. N. (C.) perpinguis (Hinds)	Nassarius cf. N. perpinguis (Hinds)	48N-28N
8-5 Ma	Nassarius (Caesia) coalingensis (Arnold)	Nassarius (Caesia) coalingensis (Arnold)	Subgenus, 49N-23N, through Gulf of California
8-5 Ma	Nassarius (Caesia) coalingensis (Arnold)	Schizopyga californiana coalingensis (Arnold)	Subgenus, 49-23N, through Gulf of California
5 Ma-H	Nassarius (Caesia) fossatus (Gould)	Nassa fossata Gould	49N-27N; bays, lagoons, sandy substrate, offshore to
			7m
5 Ma-H	Nassarius (Caesia) fossatus (Gould)	Nassarius (Schizopyga) fossatus Gould	49N-27N
8-2.5 Ma	Nassarius (Caesia) grammatus (Dall)	Nassarius (Demondia) grammatus (Dall)	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) grammatus (Dall)	Nassarius grammatus (Dall)	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) grammatus (Dall)	Nassarius (Caesia) grammatus (Dall)	Subgenus, 49N-23N, through Gulf of California
8-5 Ma	Nassarius (Caesia) grammatus addicotti Adegoke	Nassarius (Caesia) grammatus (Dall) addicotti	Subgenus, 49N-23N, through Gulf of California
		Adegoke	
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	“Nassa” moriana Martin	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	Nassa moraniana Martin	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	Nassa moriana Martin	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	Nassarius (Caesia) moranianus (Martin)	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	Nassarius (Schizopyga) moranianus (Martin)	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	Nassarius moranianus (Martin)	Subgenus, 49N-23N, through Gulf of California
8-2.5 Ma	Nassarius (Caesia) moranianus (Martin)	Schizopyga moriana (Martin)	Subgenus, 49N-23N, through Gulf of California
17-5 Ma	Nassarius (Caesia) whitneyi (Trask)	Nassa whitneyi Trask	Subgenus, 49N-23N, through Gulf of California
17-5 Ma	Nassarius (Caesia) whitneyi (Trask)	Nassarius whitneyi (Trask)	Subgenus, 49N-23N, through Gulf of California
5 Ma-H	Nassarius (Catilon) insculptus (Carpenter)	Nassarius insculptus (Carpenter)	39N-28N
27-13 or 8? Ma	Nassarius (Catilon) arnoldi (Anderson)	Nassarius churchi (Hertlein)	Subgenus, 39N-5S
27-13 or 8? Ma	Nassarius (Catilon) arnoldi (Anderson)	Uzita? arnoldi (Anderson)	Subgenus, 39N-5S
27-13 or 8? Ma	Nassarius (Catilon) arnoldi (Anderson)	Nassa arnoldi Anderson	Subgenus, 39N-5S
27-13 or 8? Ma	Nassarius (Catilon) arnoldi (Anderson)	Nassarius arnoldi (Anderson)	Subgenus, 39N-5S
27-13 or 8? Ma	Nassarius (Catilon) arnoldi (Anderson)	Nassarius churchi (Hertlein)	Subgenus, 39N-5S
13? or 8-5 Ma	Nassarius (Catilon) cf. N. (C.) stocki Kanakoff	Nassarius cf. N. stocki Kanakoff	Subgenus, 39N-5S
27-23 Ma	Nassarius (Catilon) churchi (Hertlein)	Alectrion churchi Hertlein	Subgenus, 39N-5S
8-2.5 Ma	Nassarius (Catilon) hamlini (Arnold)	Nassarius (?Uzita) hamlini (Arnold)	Subgenus, 39N-5S
8-2.5 Ma	Nassarius (Catilon) hamlini (Arnold)	Nassa hamlini Arnold	Subgenus, 39N-5S
8-2.5 Ma	Nassarius (Catilon) hamlini (Arnold)	Nassarius hamlini (Arnold)	Subgenus, 39N-5S
5-2.5 Ma	Nassarius (Catilon) hildegardae Kanakoff	Nassarius hildegardae Kanakoff	Subgenus, 39N-5S
8-5 Ma	Nassarius (Catilon) iniquus (Stewart)	Nassarius iniquus (Stewart)	Subgenus, 39N-5S
8-5 Ma	Nassarius (Catilon) iniquus (Stewart)	Nassa miser iniqua Stewart	Subgenus, 39N-5S
13-8 Ma	Nassarius (Catilon) pabloensis (Clark)	Nassarius pabloensis (Clark)	Subgenus, 39N-5S
13-8 Ma	Nassarius (Catilon) pabloensis (Clark)	Nassa pabloensis Clark	Subgenus, 39N-5S
13? or 8-5 Ma	Nassarius (Catilon) stocki Kanakoff	Nassarius stocki Kanakoff	Subgenus, 39N-5S
27-13 Ma	Nassarius (Catilon?) antiselli (Anderson and Martin)	Nassarius antiselli (Anderson and Martin)	Subgenus, 39N-5S
			
27-13 Ma	Nassarius (Catilon?) antiselli (Anderson and Martin)	Nassa antiselli Anderson and Martin	Subgenus, 39N-5S
			
			
8-5 Ma	Nassarius (Catilon?) salinasensis Addicott	Nassarius salinasensis Addicott	Subgenus, 39N-5S
8-2.5 Ma	Nassarius (Demondia) californianus (Conrad)	“Nassa” waldorfensis Arnold	Subgenus, 55N-25N
8-2.5 Ma	Nassarius (Demondia) californianus (Conrad)	Nassarius californianus (Conrad)	Subgenus, 55N-25N
8-2.5 Ma	Nassarius (Demondia) californianus (Conrad)	Nassa californiana Conrad	Subgenus, 55N-25N
8-2.5 Ma	Nassarius (Demondia) californianus (Conrad)	Nassa california (Conrad)	Subgenus, 55N-25N
8-2.5 Ma	Nassarius (Demondia) californianus (Conrad)	Nassa californica Conrad	Subgenus, 55N-25N
8-2.5 Ma	Nassarius (Demondia) californianus (Conrad)	Nassarius (Demondia) californianus (Conrad)	Subgenus, 55N-25N
17? or 5 Ma-H	Nassarius (Demondia) cooperi (Forbes)	Nassa cooperi (Forbes)	48N-33N
17? or 5 Ma-H	Nassarius (Demondia) cooperi (Forbes)	Nassarius cooperi (Forbes)	48N-33N
17? or 5 Ma-H	Nassarius (Demondia) cooperi (Forbes)	“Nassa” mendica Gould cooperi Forbes	48N-23N
17? or 5 Ma-H	Nassarius (Demondia) cooperi (Forbes)	Nassarius (Schizopyga) mendicus (Gould)	48N-33N
		cooperi (Forbes)	
13 Ma-H	Nassarius (Demondia) mendicus (Gould)	“Nassa” mendica Gould	55N-25N; bays, intertidal to sublittoral
13 Ma-H	Nassarius (Demondia) mendicus (Gould)	Nassa mendica Gould	55N-25N
13 Ma-H	Nassarius (Demondia) mendicus (Gould)	Nassarius (Schizopyga) mendicus (Gould)	55N-25N
13 Ma-H	Nassarius (Demondia) mendicus (Gould)	Nassarius mendicus (Gould)	55N-25N
13 Ma-H	Nassarius (Demondia) mendicus (Gould)	Nassarius mendicus forma indisputabilis	55N-25N
		(Oldroyd)	
5 Ma-H	Nassarius (Deomondia) forma indisputabulis	Nassarius (Deomondia) forma indisputabulis	48N-34N
	(Oldroyd)	(Oldroyd)	
N.D.	Nassarius sp.	“Nassa” sp.	Genus, 55N-5S; intertidal to 370 m, on mud and sand
N.D.	Nassarius sp.	Alectrion sp.	Genus, 55N-5S, sheltered coves and estuaries
N.D.	Nassarius sp.	Nassa sp.	Genus, 55N-5S
N.D.	Nassarius sp.	Nassarius sp.	Genus, 55N-5S
8 Ma-H	Natica (Cryptonatica) clausa Broderip and	Cryptonatica clausa (Broderip and Sowerby)	72N-54N
	Sowerby		
8 Ma-H	Natica (Cryptonatica) clausa Broderip and	Natica (Tectonatica) clausa Broderip and	72N-54N
	Sowerby	Sowerby	
8 Ma-H	Natica (Cryptonatica) clausa Broderip and	Natica clausa Broderip and Sowerby	72N-54N
	Sowerby		
8 Ma-H	Natica (Cryptonatica) clausa Broderip and	Natica clausa Broderip and Sowerby	72N-54N
	Sowerby		
8 Ma-H	Natica (Cryptonatica) clausa Broderip and	Natica consors Dall	72N-54N
	Sowerby		
23-17 Ma	Natica (Cryptonatica) oregonensis Conrad	Cryptonatica oregonensis (Conrad)	Genus, 72N-23N; intertidal to 1647 m, living on soft
			substrate
8 Ma-H	Natica (Cryptonatica) russa Gould	Natica (Tectonatica) russa Gould	71N-33N
8 Ma-H	Natica (Cryptonatica) russa Gould	Cryptonatica aleutica Dall	71N-33N
8 Ma-H	Natica (Cryptonatica) russa Gould	Natica russa Gould	71N-33N
17-13 Ma	Natica (Natica) teglandae Hanna and Hertlein	Natica (Natica) teglandae Hanna and Hertlein	Subgenus, 24N-3S
13 Ma-H	Natica (Natica) unifasciata Lamark	Natica unifasciata Lamark	10N-5S
23-17 Ma	Natica (Natica) vokesi Addicott	Natica vokesi Addicott	Subgenus, 24N-3S
17-13 Ma	Natica (Naticarius?) posuncula Hanna and	Natica (Naticarius?) posuncula Hanna and	Genus, 71N-5S; subgenus, Florida and West Indies
	Hertlein	Hertlein	
17-13 Ma	Natica (Naticarius?) posuncula Hanna and	Natica posuncula Hanna and Hertlein	Genus, 71N-5S; subgenus, Florida and West Indies
	Hertlein		
23-17 Ma	Natica inezana Conrad	Natica inezana Conrad?	Genus, 71N-5S
N.D.	Natica sp.	Natica sp.	Genus, 71N-5S
13-8 Ma	Nematurella pittsburgensis (Clark)	Littorina pittsburgensis Clark	Genus not living
23-17 Ma	Nemocardium (Arctopratulum?) cf. N. (A.) griphus Keen	Nemocardium (Arctopratulum?) cf. N. (A.)	Genus, 58N-28N; 18 to 137 m
		griphus Keen	
17 Ma-H	Nemocardium (Keenaea) centifilosum	Pratulum centifilosum (Carpenter)	58.7N-27.7N; 30 to 150 m
	(Carpenter)		
17 Ma-H	Nemocardium (Keenaea) centifilosum (Carpenter)	Laevicardium centifilosum (Carpenter)	59N-28N
			
17 Ma-H	Nemocardium (Keenaea) centifilosum	Nemocardium centifilosum (Carpenter)	59N-28N
	(Carpenter)		
17 Ma-H	Nemocardium (Keenaea) centifilosum	Pratulum? cf. P. centifilosum (Carpenter)	59N-28N
	(Carpenter)		
5 Ma-H	Neolepton (Stohleria) cf. N. (S.) salmonea	Holodarka cf. H. salmonea (Carpenter)	53.5N-25N; 20 to 60 m, also reported from intertidal
	(Carpenter)		to 92 m
5 Ma-H	Neolepton (Stohleria) cf. N. (S.) salmonea	Psephidia cf. P. salmonea (Carpenter)	54N-25N
	(Carpenter)		
5-2.5 Ma	Neptunea (Neptunea) altispira (Gabb)	Chrysodomus altispira Gabb	Genus, 72N-33N
5-2.5 Ma	Neptunea (Neptunea) altispira (Gabb)	Neptunea altispira Gabb	Genus, 72N-33N
5-2.5 Ma	Neptunea (Neptunea) altispira (Gabb)	Neptunea (Neptunea) lirata (Martyn) subsp.	Genus, 72N-33N
		altispira Gabb	
5-2.5 Ma	Neptunea (Neptunea) andersoni (Martin)	Chrysodomus andersoni Martin	Genus, 72N-33N
5-2.5 Ma	Neptunea (Neptunea) andersoni (Martin)	Neptunea (Neptunea) andersoni (Martin)	Genus, 72N-33N
8 Ma-H	Neptunea (Neptunea) lirata (Martyn)	Chryosodomus liratus Martyn	71N-37N
8 Ma-H	Neptunea (Neptunea) lirata (Martyn)	Neptunea lyrata (Gmelin)	71N-37N
8 Ma-H	Neptunea (Neptunea) pribiloffensis (Dall)	Neptunea (Neptunea) pribiloffensis (Dall)	56N-54N
23-17 Ma	Neptunea (Sulcosipho) eatoni Grant and Quayle	Neptunea eatoni Grant and Quayle	Genus, 72N-33N
5-2.5 Ma	Neptunea (Sulcosipho) scotiaensis (Martin)	Neptunea (Sulcosipho) scotiaensis (Martin)	Genus, 72N-33N
8 Ma-H	Neptunea (Sulcosipho) tabulata (Baird)	Chrysodomus tabulatus Baird	51N-33N, 84 to 436 m
8 Ma-H	Neptunea (Sulcosipho) tabulata (Baird)	Neptunea (Sulcosipho) tabulata (Baird)	51N-33N
8-2.5 Ma	Neptunea (Sulcosipho) tabulata (Baird)	Neptunea (Sulcosipho) tabulata (Baird) subsp.	Species, 51N-33N, 84 to 436 m
	colmaensis (Martin)	colmaensis (Martin)	
8-2.5 Ma	Neptunea (Sulcosipho) tabulata (Baird)	Neptunea (Sulcosipho) tabulata (Baird) var.	Species, 51N-33N
	colmaensis (Martin)	colmaensis (Martin)	
8-2.5 Ma	Neptunea (Sulcosipho) tabulata (Baird)	Neptunea colmaensis Martin	Species, 51N-33N
	colmaensis (Martin)		
8-2.5 Ma	Neptunea (Sulcosipho) tabulata (Baird)	Neptunea tabulata colmaensis (Martin)	Species, 51N-33N
	colmaensis (Martin)		
8-5 Ma	Neptunea (Sulcosipho?) lawsoni (Martin)	Chrysodomus lawsoni Martin	Genus, 72N-33N; intertidal to 1555 m
5-2.5 Ma	Neptunea (Sulcosipho?) lawsoni (Martin)	Neptunea (Sulcosipho?) lawsoni (Martin)	Genus, 72N-33N
5-2.5 Ma	Neptunea (Sulcosipho?) stocki (Howe)	Neptunea (Sulcosipho?) stocki (Howe)	Genus, 72N-33N
17-8 Ma	Neptunea buwaldi (Clark)	Neptunea buwaldi (Clark)	Genus, 72N-33N
17-8 Ma	Neptunea buwaldi (Clark)	Chrysodomus buwaldi Clark	Genus, 72N-33N
8-5 Ma	Neptunea cf. N. diabloensis (Clark)	Chrysodomus cf. C. diabloensis Clark	Genus, 72N-33N
5 Ma-H	Neptunea cf. N. smirnia (Dall)	Neptunea cf. N. smirnia (Dall)	60N-48N
13-8 Ma	Neptunea cierboensis (Clark)	Chrysodomus cierboensis Clark	Genus, 72N-33N
13-8 Ma	Neptunea cierboensis (Clark)	Neptunea cierboensis (Clark)	Genus, 72N-33N
13-8 Ma	Neptunea cierboensis (Clark)	Thais cierboensis Clark	Genus, 72N-33N
13-8 Ma	Neptunea diabloensis (Clark)	Chrysodomus diabloensis Clark	Genus, 72N-33N
13-8 Ma	Neptunea pabloensis (Clark)	Chrysodomus pabloensis Clark	Genus, 72N-33N
13-8 Ma	Neptunea pabloensis (Clark)	Neptunea pabloensis (Clark)	Genus, 72-33N
8-5 Ma	Neptunea praenominata (Hanna)	Tritonalia praenominata (Hanna)	Genus, 72N-33N
8-5 Ma	Neptunea purisimaensis (Martin)	Neptunea purisimaensis (Martin)	Genus, 72N-33N
N.D.	Neptunea sp.	Neptunea sp.	Genus, 72N-33N
13-8 Ma	Neptunea? rodeoenis (Clark)	Clava rodeoensis (Clark)	Genus, 72N-33N
13 Ma-H	Nerita (Ritena) scabricostata Lamarck	Nerita scabricostata Lamarck	28N-3S, through Gulf of California; wave splash zone
			at high tide
13 Ma-H	Nerita (Theliostyla) funiculata Menke	Nerita cf. bernhardi Recluz	28N-5S, through Gulf of California; intertidal, on rocks
			
17-13 Ma	Nerita (Theliostyla?) joaquinensis Addicott	Nerita (Theliostyla?) joaquinensis Addicott	Subgenus, 28N-5S, through the Gulf of California
27-23 Ma	Nerita beali? Loel and Corey	Nerita beali? Loel and Corey	Genus, 28N-5S, through Gulf of California; intertidal,
			on rocks
N.D.	Nerita sp.	Nerita sp.	Genus, 28N-5S, through Gulf of California
8 Ma-H	Netastoma rotrata (Valenciennes)(see McLean,	Nettastomella rotrata (Valenciennes)	50N-27N; intertidal to 46 m, boring into rocks
	1978, p. 92)		
23-13 Ma	Niso antiselli Anderson and Martin	Niso antiselli Anderson and Martin	Genus, 33N-3S; 9 to 200 m
17-13 Ma	Niso cottonwoodensis Addicott	Niso cottonwoodensis Addicott	Genus, 33N-3S
N.D.	Niso n.sp. Powell	Niso n.sp. Powell	Genus, 33N-3S
8-5 Ma	Nodipecten arthriticus (Reeve) 8-5 Ma	Nodipecten arthriticus (Reeve)	Genus, 32N-5S; washed onto beaches but living in
			deeper water
8 Ma-H	Nodipecten subnodosus subnodosus (Sowerby)	Pecten (Lyropecten) subnodosus Sowerby	32.4N-24.2; intertidal to 110
	8 Ma to Holocene		
13-2.5 Ma	Nodipecten veatchii (Gabb) 13-2.5 Ma	Pecten veatchii Gabb	Genus, 32N-5S
13-2.5 Ma	Nodipecten veatchii (Gabb) 13-2.5 Ma	Pecten (Lyropecten) veatchii Gabb	Genus, 32N-5S
8 Ma-H	Norrisia norrisi (Sowerby)	Norrisia norrisi (Sowerby)?	37N-28N; intertidal, on rocks and algae; offshore on
			kelp
8 Ma-H	Norrisia norrisi (Sowerby)	Norrisia? sp	37N-28N; intertidal, on rocks and algae; offshore on
			kelp
23-13 or 8 Ma	Notocytharella cf. N. kernensis (Anderson and	Mangelia cf. M. kernensis Anderson and Martin	Genus, 27N in Gulf of California-3S; low tide to 10 m
	Martin) 13-8 Ma		
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Clathrodrillia (Moniliopsis) kernensis (Anderson	Genus, 27N in Gulf of California-3S; low tide to 10 m
	23-13 Ma	and Martin)	
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Clathrodrillia kernensis (Anderson and Martin)	Genus, 27N in Gulf of California-3S
	23-13 Ma		
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Drillia kernensis Anderson	Genus, 27N in Gulf of California-3S
	23-13 Ma		
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Mangelia (Cacodaphnella?) kernensis (Anderson	Genus, 27N in Gulf of California-3S
	23-13 Ma	and Martin)	
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Mangelia (Notocytharella) kernensis (Anderson	Genus, 27N in Gulf of California-3S
	23-13 Ma	and Martin)	
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Mangelia kernensis (Anderson and Martin)	Genus, 27N in Gulf of California-3S
	23-13 Ma		
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Mangelia kernensis Anderson and Martin	Genus, 27N in Gulf of California-3S
	23-13 Ma		
23-13 or 8 Ma	Notocytharella kernensis (Anderson and Martin)	Pseudotomella kernensis (Anderson and Martin)	Genus, 27N in Gulf of California-3S
	23-13 Ma		
N.D.	Notocytharella sp.	Mangelia sp.	Genus, 27N in Gulf of California-3S
17-13 Ma	Notocytharella? hartensis (Addicott)	Mangelia (Notocytharella?) hartensis Addicott	Genus, 27N in Gulf of California-3S
13 Ma-H	Nucella canaliculata (Duclos)	Thais canaliculata Duclos	57N-37N; intertidal, among barnacles and mussels
13 Ma-H	Nucella canaliculata (Duclos)	Thais (Nucella) canaliculata (Duclos)	57N-37N
13 Ma-H	Nucella canaliculata (Duclos)	Purpura canaliculata Duclos	57N-37N
8-2.5 Ma	Nucella cf. N. lamellosa shumanensis (Carson)	Thais (Nucella) cf. T. shumanensis Carson	Species, 65N-34N; intertidal, among barnacles and
			mussels
13 Ma-H	Nucella cf. N. lima (Marytn)	Thais (Nucella) cf. T. (N.) lima (Gmelin)	66N-28N; intertidal, among barnacles and mussels
8-2.5 Ma	Nucella elsmerensis (Grant and Gale)	Nucella elsmerensis (Grant and Gale)	Genus, 66N-3S; intertidal, among barnacles and
			mussels
8-2.5 Ma	Nucella elsmerensis (Grant and Gale)	Thais elsmerensis Grant and Gale	Genus, 66N-3S
5 Ma-H	Nucella emarginata (Deshayes)	Thais emarginata (Deshayes)	58N-16N; in rock crevices near mussle beds
5 Ma-H	Nucella emarginata (Deshayes)	Nucella emarginata (Deshayes)	58N-16N
8-5 or 2.5? Ma	Nucella etchegoinensis (Arnold)	Thais etchegoinensis Arnold	Genus, 66N-3S; intertidal, among barnacles and mussels
			
			
8-5 or 2.5? Ma	Nucella etchegoinensis (Arnold)	Nucella etchegoinensis (Arnold)	Genus, 66N-3S
8-5 or 2.5? Ma	Nucella etchegoinensis (Arnold)	Polytropa etchegoinensis (Arnold)	Genus, 66N-3S
8-5 or 2.5? Ma	Nucella etchegoinensis (Arnold)	Thais (Nucella) etchegoinensis (Arnold)	Genus, 66N-3S
8-5 Ma	Nucella funkeana (Adegoke)	Polytropa funkeana Adegoke	Genus, 66N-3S
13 Ma-H	Nucella lamellosa (Gmelin)	Nucella lamellosa (Gmelin)	65N-34N, intertidal, bays, estuaries, rocky shores,
			low wave action
13 Ma-H	Nucella lamellosa (Gmelin)	Polytropa lamellosa (Gmelin)	65N-34N
13 Ma-H	Nucella lamellosa (Gmelin)	Thais (Nucella) lamellosa (Gmelin)	65N-34N
13 Ma-H	Nucella lamellosa (Gmelin)	Thais lamellosa (Gmelin)	65N-34N
13 Ma-H	Nucella lamellosa (Gmelin)	Thais lamellosa Gmelin	65N-34N
8-2.5 Ma	Nucella lamellosa collomi (Carson)	Nucella lamellosa collomi (Carson)	Species, 65N-34N, intertidal, bays, estuaries, rocky
			shores
8-2.5 Ma	Nucella lamellosa collomi (Carson)	Nucella collomi (Carson)	Species, 65N-34N
8-2.5 Ma	Nucella lamellosa collomi (Carson)	Thais collomi Carson	Species, 65N-34N
8-2.5 Ma	Nucella lamellosa shumanensis (Carson)	Nucella lamellosa shumanensis (Carson)	Species, 65N-34N
13 Ma-H	Nucella lima (Martyn)	Nucella lima (Gmelin)	66N-28N; intertidal, among barnacles and mussels
13 Ma-H	Nucella lima (Martyn)	Purpura saxicola Valenciennes	66N-28N
13 Ma-H	Nucella lima (Martyn)	Thais lima Martyn	66N-28N
13 Ma-H	Nucella lima (Martyn)	Thais papillus (Linnaeus)	66N-28N
13 Ma-H	Nucella lima (Martyn)	Thais saxicola Valenciennes	66N-28N
8 Ma-H	Nucella ostrina (Gould)	Thais (Nucella) emarginata forma ostrina Gould	61N-31N
8 Ma-H	Nucella ostrina (Gould)	Thais ostrina (Gould)	61N-31N
27-13 Ma	Nucella packi (Clark)	Nucella packi talea Stewart	Genus, 66N-3S, intertidal to 15 m, rocky shore,
			protected
27-13 Ma	Nucella packi (Clark)	Thais (Nucella) packi Clark	Genus, 66N-3S
27-13 Ma	Nucella packi (Clark)	Thais (Stromonita) carrizoensis Loel and Corey	Genus, 66N-3S
27-13 Ma	Nucella packi (Clark)	Thais carrizoensis Loel and Corey	Genus, 66N-3S
27-13 Ma	Nucella packi (Clark)	Thais cf. T. n.sp. Lutz	Genus, 66N-3S
27-13 Ma	Nucella packi (Clark)	Thais n.sp. Lutz	Genus, 66N-3S
27-13 Ma	Nucella packi (Clark)	Thais sp.	Genus, 66N-3S
13-8 Ma	Nucella rankini Grant and Eaton	Nucella rankini Grant and Eaton	Genus, 66N-3S
N.D.	Nucella sp.	Polytropa sp.	Genus, 66N-3S
N.D.	Nucella sp.	Nucella sp.	Genus, 66N-3S
N.D.	Nucella sp.	Thais sp. a.	Genus, 66N-3S
5-2.5 Ma	Nucella trancosana (Arnold)	Thais (Nucella) trancosana Arnold	Genus, 66N-3S
5 Ma-H	Nucula (Lamellinucula) exigua Sowerby	Nucula (Lamellinucula) exigua Sowerby	33.7N-3.7S, through Gulf of California; 10
			to 140 m
5 Ma-H	Nucula (Lamellinucula) exigua Sowerby	Nucula suprastriata Carpenter	34N-4S, through Gulf of California
N.D.	Nucula sp.	Nucula sp.	Genus, 60N-5S or Chile; 7 to 4060 m
5 Ma-H	Nuculana (Nuculana) aff. N. (N.) leonina (Dall)	Nuculana (Nuculana) aff. N. (N.) leonina (Dall)	55N-32.7N; 350 to 2500 m
5 Ma-H	Nuculana (Nuculana) aff. N. (N.) minuta (Muller)	Nuculana aff. N. minuta (Fabricius)	71.4N-33.3N; 4 to 1900 m
5 Ma-H	Nuculana (Nuculana) cf. N. (N.) leonina (Dall)	Nuculana cf. N. leonina (Dall)	55N-33N
5 Ma-H	Nuculana (Nuculana) fossa (Baird)	Nuculana fossa (Bair)	58N-33N; 20 to 600 m
23-17 Ma	Nuculana (Saccella) amelga Moore	Saccella amelga Moore	Subgenus, 58N-6S
