TimeSlice	Taxonomy	TaxonomyAuthors	LatRange
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Chione conradiana F. M. Anderson	Subgenus, 28N-0
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Clementia (Egesta) conradiana (Anderson)	Subgenus, 28N-0
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Clementia (Egesta) pertenuis (Gabb) conradiana	Subgenus, 28N-0
		(Anderson)	
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Clementia pertenuis (Gabb)	Subgenus, 28N-0
			
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Clementia pertenuis conradiana (Anderson)	Subgenus, 28N-0
27-13 Ma	Clementia (Egesta) conradiana (Anderson)	Clementia pertenuis conradiana (F. M. Anderson)	Subgenus, 28N-0
13-5 Ma	Clementia (Egesta) martini (Clark)	Clementia (Egesta) martini (Clark)	Subgenus, 28N-0
13-5 Ma	Clementia (Egesta) martini (Clark)	Clementia (Egesta) martini (Clark)	Subgenus, 28N-0
13-5 Ma	Clementia (Egesta) martini (Clark)	Clementia martini (Clark)	Subgenus, 28N-0
13-5 Ma	Clementia (Egesta) martini (Clark)	Venus martini Clark	Subgenus, 28N-0
23-5 Ma	Clementia (Egesta) pertenuis (Gabb)	Clementia (Egesta) pertenuis (Gabb)	Subgenus, 28N-0
23-5 Ma	Clementia (Egesta) pertenuis (Gabb)	Clementia pertenuis (Gabb)	Subgenus, 28N-0
23-5 Ma	Clementia (Egesta) pertenuis (Gabb)	Venus pertenuis Gabb	Subgenus, 28N-0
N.D.	Clementia (Egesta) sp.	Clementia sp.	Subgenus, 28N-0
N.D.	Clementia (Egesta) sp.	Compsomyax sp.	Subgenus, 28N-0
N.D.	Clementia (Egesta) sp.	Clementia (Egesta) sp.	Subgenus, 28N-0
N.D.	Clementia (Egesta) sp.	Venus sp.	Subgenus, 28N-0
13-8 Ma	Clementia brioniana (Trask)	Venus brioniana Trask	Genus, 28N-0
23-17 Ma	Clementia dariena (Conrad)	Clementia dariena (Conrad)	Genus, 30N-15 N, Florida and Gulf of Mexico-West Indies
			
N.D.	Clementia sp.	Clementia sp.	Genus, 28N-0
23-17 Ma	Clementia? elongata Wiedey	Clementia (Egesta) elongata Wiedey	Genus, 28N-0
5 Ma-H	Clinocardium (Ciliatocardium) ciliatum (Fabricius)	Clinocardium comoxense (Dall)	71-48.9N; 10 to 150 m
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Cardium (Clinocardium) nuttallii Conrad	63.1N-32.7N, intertidal to 180 m, common in
			esturaries
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Cardium corbis (Martyn) n. var.?	63.1N-32.7N
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Cardium corbis Martyn	63.1N-32.7N
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Cardium corbis Martyn	63.1N-32.7N
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Cerastoderma corbis (Martyn)	63.1N-32.7N
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Clinocardium (Clinocardium) nuttallii (Conrad)	63.1N-32.7N
13 Ma-H	Clinocardium (Clinocardium) nuttallii (Conrad)	Laevicardium (Cerastoderma) cf. L. (C.) corbis	63.1N-32.7N
		(Martyn)	
5 Ma-H	Clinocardium (Keenocardium) blandum (Gould)	Clinocardium blandum (Gould)	57N-39N; 20 to 80 m
8-2.5 Ma	Clinocardium coosense (Dall)	Cardium coosensis Dall	Genus, 71N-33N; intertidal, in sand, to 150 m
8-2.5 Ma	Clinocardium coosense (Dall)	Cardium (Cerastoderma) coosense Dall	Genus, 71N-33N; esturaries and sheltered waterways
5-2.5 Ma	Clinocardium lispum Roth and Talmadge (Roth	Clinocardium lispum Roth and Talmadge (Roth	Genus, 71N-33N
	and Talmadge, 1975)	and Talmadge, 1975)	
8-2.5 Ma	Clinocardium meekianum (Gabb)	Cardium (Cerastoderma) meekianum Gabb	Genus, 71N-33N
8-2.5 Ma	Clinocardium meekianum (Gabb)	Clinocardium meekianum (Gabb)	Genus, 71N-33N
8-2.5 Ma	Clinocardium meekianum (Gabb)	Laevicardium (Cerastoderma) meekianum	Genus, 71N-33N
		(Gabb)	
8-5 Ma	Clinocardium meekianum (Gabb) myrae	Clinocardium meekianum (Gabb) myrae	Genus, 71N-33N
	Adegoke	Adegoke	
13-8 Ma	Clinocardium praeblandum Keen	Clinocardium praeblandum Keen	Genus, 71N-33N; intertidal, in sand, to 180 m
13-8 Ma	Clinocardium pristinum Keen (Keen, 1954)	Clinocardium pristinum Keen	Genus, 71N-33N
N.D.	Clinocardium sp.	Cardium sp.	Genus, 71N-33N
N.D.	Clinocardium sp.	Cerastoderma sp.	Genus, 71N-33N
N.D.	Clinocardium sp.	Clinocardium sp.	Genus, 71N-33N
8-2.5 Ma	Clinopegma cf. C. magna stantoni (Arnold)	Beringius cf. B. stantoni (Arnold)	Genus, 60N-50N, Japan
8-2.5 Ma	Clinopegma magna stantoni (Arnold)	Neptunea stantoni (Arnold)	Genus, 60N-50N, Japan
8-2.5 Ma	Clinopegma magna stantoni (Arnold)	Beringius stantoni (Arnold)	Genus, 60N-50N, Japan
13-8? Ma	Clypeaster bowersi Weaver(Echinodermata)	Clypeaster bowersi Weaver (Echinodermata)	Genus, 23N-0, Gulf of California
13-8? Ma	Clypeaster carrizoensis Kew	Clypeaster carrizensis Kew	Genus, 23N-0, Gulf of California
N.D.	Clypeaster deserti Kew	Clypeaster deserti Kew	Genus, 23N-0, Gulf of California
			
23-17 Ma	Cochiolepsis? schoonerensis Moore	Cochiolepsis? schoonerensis Moore	29N-24N Atlantic; living under the scales of a large
			annelid worm
5 Ma-H	Cockerella conradiana (Gabb)	Cockerella conradiana (Gabb)	37N-5S
N.D.	Codakia sp.	Phacoides (Codakia?) n.sp.	Genus, 25N-1S
13 Ma-H	Codakia (Codakia) distuguenda (Tryon)	Codakia (Codakia) distuguenda (Tryon)	25N-9N; on tide flats at extreme low tide
13 Ma-H	Codakia (Codakia) distuguenda (Tryon)	Codakia colpoica Dall	25N-9N
13-8 Ma	Codakia sp. cf. C. orbicularis (Linnaeus) (Smith, 1989)	Codakia (Codakia) distuguenda (Tryon)	25N-9N
			
8? Ma-H	Collisella cf. C. digitalis (Rathke)	Acmaea cf. A. digitalis Eschscholtz	55N-19N; upper intertidal, splash zone
17? Ma-H	Collisella cf. C. scabra (Gould)	Acmaea cf. A. scabra (Gould)	48N-23N; intertidal, rocky “reefs”
N.D.	Collisella sp.	Collisella sp.	Genus, 34N-5N, through Gulf of California; intertidal
N.D.	Columbella sp.	Pyrene sp.	Genus, 33N-5S, through Gulf of California; intertidal,
			under rocks
8-2.5 Ma	Colus (Aulacofusus) cf. C. (A.) recurvus (Gabb)	Neptunea (Colus) cf. N. (C.) recurva (Gabb)	Genus, 72N-33N, deep water, 18 to 2013 m
8-2.5 Ma	Colus (Aulacofusus) recurvus (Gabb)	Neptunea recurva Gabb	Genus, 72N-33N, deep water
8-2.5 Ma	Colus (Aulacofusus) recurvus (Gabb)	Colus recurvus (Gabb)	Genus, 72N-33N, deep water
8-5 Ma	Colus eurekaensis (Martin)	Chrysodomus eurekaensis Martin	Genus, 72N-33N, deep water
8-5 Ma	Colus eurekaensis (Martin)	Neptunea eurekaensis (Martin)	Genus, 72N-33N, deep water
5 Ma-H	Colus halibrectus (Dall)	Chrysodomus halibrectus Dall	55N
5 Ma-H	Colus halli (Dall)	Tritonofusus halli Dall	60N-33N
N.D.	Colus sp.	Anomalosipho sp.	Genus, 72N-33N, deep water
N.D.	Colus sp.	Colus sp. indent.	Genus, 72N-33N, deep water
23-17 Ma	Comitas? spencerensis Moore	Comitas? spencerensis Moore	Genus, medial Miocene, New Zealand
23-13 Ma	Compsomyax angustifrons (Conrad)	Callista angustifrons Conrad (apparently Dione	Genus, 61N-30N, in Gulf of California; 2
		angustifrons Conrad)	to 500 m
23-13 Ma	Compsomyax angustifrons (Conrad)	Composmyax angustifrons (Conrad)	Genus, 61N-30N, in Gulf of California
23-13 Ma	Compsomyax angustifrons (Conrad)	Katherinella (Katherinella) angustifrons (Conrad)	Genus, 61N-30N, in Gulf of California
23-13 Ma	Compsomyax angustifrons (Conrad)	Marcia angustifrons (Conrad)	Genus, 61N-30N, in Gulf of California
8 Ma-H	Compsomyax cf. C. subdiaphana (Carpenter)	Clementia (Compsomyax) cf. C. (C.)	60.8N-30.4N, in Gulf of California
		subdiaphana Carpenter	
N.D.	Compsomyax sp.	Katherinella sp.	Genus, 61N-30N, in Gulf of California
N.D.	Compsomyax sp.	Compsomyax sp.	Genus, 61N-30N, in Gulf of California
8 Ma-H	Compsomyax subdiaphana (Carpenter)	Callista subdiaphana Carpenter	60.8N-30.4N, in Gulf of California
8 Ma-H	Compsomyax subdiaphana (Carpenter)	Compsomyax subdiaphana (Carpenter)	60.8N-30.4N, in Gulf of California
8 Ma-H	Compsomyax subdiaphana (Carpenter)	Katherinella subdiaphana (Carpenter)	60.8N-30.4N, in Gulf of California
8 Ma-H	Compsomyax subdiaphana (Carpenter)	Marcia subdiaphana (Conrad)	60.8N-30.4N, in Gulf of California
8 Ma-H	Compsomyax subdiaphana (Carpenter)	Venerella (Compsomyax) cf. subdiaphana	60.8N-30.4N, in Gulf of California
		(Carpenter)	
8 Ma-H	Compsomyax subdiaphana (Carpenter)	Venerella (Compsomyax) subdiaphana (Conrad)	60.8N-30.4N, in Gulf of California
23 Ma-H	Conchocele bisecta (Conrad)	Conchocele disjuncta Gabb	57N-40.8N; 50 to 750 m, in mud
23 Ma-H	Conchocele bisecta (Conrad)	Thyasira bisecta Conrad	57N-41N
23 Ma-H	Conchocele bisecta (Conrad)	Thyasira bisecta (Conrad)	57N-41N
13? or 8 Ma-H	Conus (Chelyconus) californicus Reeve, ex	Conus californicus (Hinds)	38N-24N
	Hinds		
13? or 8 Ma-H	Conus (Chelyconus) californicus Reeve, ex	Conus californicus Reeve	38N-24N; intertidal to 46 m
	Hinds		
27-8 Ma	Conus (Chelyconus) owenianus Anderson	Conus owenianus Anderson	Subgenus, 38N-3S, Gulf of California; intertidal to 50 m
			
			
27-8 Ma	Conus (Chelyconus) owenianus Anderson	Conus oweniana Anderson	Subgenus, 38N-3S, Gulf of California
27-8 Ma	Conus (Chelyconus) owenianus Anderson	Conus (Chelyconus) owenianus Anderson	Subgenus, 38N-3S, Gulf of California
23? or 13 Ma-H	Conus (Leptoconus) cf. C. (L.) regularis Sowerby	Conus (Lithoconus) cf. C. (L.) regularis Sowerby	25N-5S, through Gulf of California; intertidal to 90 m
13? or 5-2.5 Ma	Conus (Leptoconus) multiliratus walli Mansfield	Conus (Leptoconus) multiliratus walli Mansfield	Subgenus, 28N-5S, through Gulf of California;
			intertidal to 145 m
5 Ma-H	Conus (Leptoconus) recurvus Broderip	Conus aff. C. recurvus Broderip	25N-5N; offshore at depths of 35 to 145 m
23? or 13 Ma-H	Conus (Leptoconus) regularis Sowerby	Conus regularis Sowerby	25N-5S, through Gulf of California
23-13 Ma	Conus (Lithoconus) cf. C. (L.) hayesi Arnold	Conus cf. C. fergusoni Sowerby	Subgenus, 28N-3S, Gulf of California; intertidal to 165 m
			
13 Ma-H	Conus (Lithoconus) fergusoni Sowerby	Conus fergusoni Sowerby	28N-3S, through Gulf of California; intertidal to 165 m
23-13 Ma	Conus (Lithoconus) hayesi Arnold	Conus (Lithoconus) hayesi Arnold	Subgenus, 28N-3S, Gulf of California
23-13 Ma	Conus (Lithoconus) haysei Arnold	Conus haysei Arnold	Subgenus, 28N-3S, Gulf of California
13-8 Ma	Conus bramkampi Hanna and Strong (Hanna	Conus bramkampi Hanna and Strong	Genus, 38N-south of equator
	and Strong, 1949)		
13-8 Ma	Conus durhami Hanna and Strong (Hanna and	Conus durhami Hanna and Strong	Genus, 38N-south of equator
	Strong, 1949)		
13? Ma-H	Conus n.sp.? cf. C. purperascens Sowerby	Conus n.sp.? cf. C. purperascens Sowerby	25N-3S, through Gulf of California; tide pools and
			rocky ledges
13 Ma-H	Conus planiliratus Sowerby	Conus planiliratus Sowerby	Genus, 38N-south of equator eastern Pacific;
			species, 24N Florida
N.D.	Conus sp.	Conus sp.	Genus, 38N-south of equator
13-8 Ma	Conus spurius Gmelin (Smith, 1989)	Conus spurius Gmelin	Genus, 38N-south of equator
N.D.	Corbula (Bicrobula?) n.sp. Powell	Corbula (Bicrobula?) n.sp. Powell	Genus, 37N-14S; intertidal to 73 m, among rock
			rubble
13? or 5-2.5 Ma	Corbula (Caryocorbula) oreopendula Olsson	Corbula (Caryocorbula) oreopendula Olsson	Subgenus, 37N-14S
N.D.	Corbula (Caryocorbula) sp.	Corbula (Caryocorbula) n.sp.	Subgenus, 37N-14S
5 Ma-H	Corbula (Tenuicorbula) tenuis Sowerby	Corbula tenuis Moody	8N-3S; not reported outside Panama area (Keen,
			1971, p. 268)
8-2.5 Ma	Corbula (Varicorbula) gibbiformis Grant and Gale	Corbula gibbiformis Grant and Gale	Subgenus, 27N-3N, through Gulf of California
8-2.5 Ma	Corbula (Varicorbula) gibbiformis Grant and Gale	Corbula (Varicorbula) gibbiformis Grant and Gale	Subgenus, 27N-3N, through Gulf of California
8-2.5 Ma	Corbula (Varicorbula) gibbiformis Grant and Gale	Corbula (Corbula) gibbiformis Grant and Gale	Subgenus, 27N-3N, through Gulf of California
13? or 5 Ma-H	Corbula (Varicorbula) speciosa Reeve	Corbula (Varicorbula) speciosa Reeve	27N Gulf of California-7N
N.D.	Corbula sp.	Corbula sp.	Genus, 37N-14S
N.D.	Corbula? sp.	Corbis n.sp.?	Genus, 37N-14S
N.D.	Cosmioconcha n.sp.	Cosmioconcha n.sp.	Genus, 24N-south of equator; intertidal to 205 m
5 Ma-H	Cranopsis cucullata (Gould) (McLean, 1996)	Puncturella cucullata (Gould)	58N-23N
13-8 Ma	Crassadomo benedicti (Adegoke) 13-8 Ma	Hinnites multirugosus (Gale) benedicti Adegoke	Genus, 60.2N-24.6N; low tide to 80 m, high latitudes
			close to shore
13-8 Ma	Crassadomo benedicti (Adegoke) 13-8 Ma	Hinnites benedicti Adegoke	Genus, 60N-25N
27 Ma-H	Crassadomo cf. C. giganteus (Gray)	Hinnites cf. H. crassa (Conrad)	60N-25N, Gulf of California; intertidal to 80 m,
			common 6 to 10 m
27 Ma-H	Crassadomo cf. C. giganteus (Gray)	Hinnites cf. H. crassa Conrad	60N-25N
27 Ma-H	Crassadomo cf. C. giganteus (Gray)	Hinnites cf. H. giganteus (Gray)	60N-25N
27 Ma-H	Crassadomo giganteus (Gray)	Chlamys (Hinnites) multirugosus (Gale)	60N-25N
27 Ma-H	Crassadomo giganteus (Gray)	Hinnites giganteus (Gray)	60N-25N
27 Ma-H	Crassadomo giganteus (Gray)	Hinnites multirugosus crassiplicatus (Gale)	60N-25N
27 Ma-H	Crassadomo giganteus (Gray)	Hinnites multirugosus var. crassiplicatus (Gale)	60N-25N
27 Ma-H	Crassadomo giganteus (Gray)	Hinnites? cf. H. giganteus (Gray)	60N-25N
27 Ma-H	Crassadomo giganteus (Gray)	Pecten (Hinnites) giganteus Gray	60N-25N
N.D.	Crassadomo sp.	Hinnites sp.	Genus, 60N-25N
8-5 Ma	Crassatella collina (Conrad)?	Crassatella collina Conrad?	Questionable generic assignment; Eocene species
17 Ma-H	Crassinella cf. C. pacifica (Adams)	Crassinella cf. C. mexicana Pilsbry and Lowe	34N-1S
13? or 5 Ma-H	Crassinella n.sp.? aff. C. adamsi Olsson	Crassinella n.sp.? aff. C. adamsi Olsson	23N-3S
17 Ma-H	Crassinella pacifica (Adams)	Crassinella mexicana Pilbry and Lowe	34N-1S
17 Ma-H	Crassinella pacifica (Adams)	Crassinella branneri Arnold	33.9N-1S, through Gulf of California; intertidal to 160 m
			
17 Ma-H	Crassinella pacifica (Adams)	Crassinella pacifica mexicana Pilbry and Lowe	34N-1S
13? or 5 Ma-H	Crassinella virians (Carpenter)	Crassinella virians (Carpenter)	28N-3S
5-2.5? Ma	Crassispira zizyphus (Berry)	Crassispira zizyphus (Berry)	Genus, 37N-3S
8? Ma-H	Crassispira aff. C. montereyensis (Steams)	Crassispira aff. C. montereyensis (Steams)	37N-23N
N.D.	Crassispira n.sp. Powell	Crassispira n.sp. Powell	Genus, 37N-3S; on sand, rocks, and under kelp, 17
			to 65 m
8? Ma-H	Crassispira n.sp.? aff. C. martinensis Dall	Pseudomelatoma n.sp.? aff. P. grippi (Dall) (see Keen, 1971, p. 907)	34N-30N, uncommon on rocky bottoms under kelp
			
17-13 Ma	Crassispira olcesensis Addicott	Crassispira olcesensis Addicott	Genus, 37N-3S
5-2.5 Ma	Crassispira semiinflata (Grant and Gale)	Crassispira semiinflata (Grant and Gale)	Genus, 37N-3S; also, 34N-32N of authors
N.D.	Crassispira sp.	Crassispira sp.	Genus, 37N-3S
13 Ma-H	Crassostrea columbiensis (Hanley)	Ostrea californica Marcou	28N-5S; intertidal, attached to rocks or mangroves
13 Ma-H	Crassostrea columbiensis (Hanley)	Ostrea iridescens Gray	28N-5S
N.D.	Crassostrea sp.	Crassostrea sp.	Genus, 60N-5S
N.D.	Crassostrea sp.	Ostrea sp.	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Crassostrea titan (Conrad)	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Crassostrea titan prior (Grant and Eaton)	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea ligminuta Grant and Eaton	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea panzana Conrad	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea titan Conrad	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea titan Conrad andersoni Adegoke	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea titan prior Grant and Eaton	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea titan s.s. Conrad	Genus, 60N-5S
23-5 Ma	Crassostrea titan (Conrad)	Ostrea titan? Conrad	Genus, 60N-5S
23-8 Ma	Crassostrea? ashleyi (Hertlein)	Crassostrea ashleyi (Hertlein)	Genus, 60N-5S
23-8 Ma	Crassostrea? ashleyi (Hertlein)	Ostrea altatemblorensis Grant and Eaton	Genus, 60N-5S
23-8 Ma	Crassostrea? ashleyi (Hertlein)	Ostrea arnoldi Adegoke	Genus, 60N-5S
23-8 Ma	Crassostrea? ashleyi (Hertlein)	Ostrea ashleyi Hertlein	Genus, 60N-5S
23-8 Ma	Crassostrea? ashleyi (Hertlein)	Ostrea hertleini Adegoke	Genus, 60N-5S
27-17 or 13? Ma	Crassostrea? englekyi Hertlein	Ostrea englekyi Hertlein	Genus, 60N-5S
			
13 Ma-H	Crassostrea? eucorrugata (Hertlein)	Crassostrea cierboensis (Grant and Eaton)	Genus, 60N-5S
13 Ma-H	Crassostrea? eucorrugata (Hertlein)	Crassostrea eucorrugata (Hertlein)	Genus, 60N-5S
13 Ma-H	Crassostrea? eucorrugata (Hertlein)	Ostrea cierboensis Grant and Eaton	Genus, 60N-5S
13 Ma-H	Crassostrea? eucorrugata (Hertlein)	Ostrea eucorrugata Hertlein	Genus, 60N-5S
8-5 Ma	Crassostrea? eucorrugata (Hertlein)	Ostrea titan corrugata Nomland	Genus, 60N-5S
8-5 Ma	Crassostrea? eucorrugata (Hertlein)	Ostrea titan var. eucorrugata Hertlein	Genus, 60N-5S
27-23 or to 13? Ma	Crassostrea? vaquerosensis (Loel and Corey)	Crassostrea vaquerosensis (Loel and Corey)	Genus, 60N-5S
			
27-23 or to 13? Ma	Crassostrea? vaquerosensis (Loel and Corey)	Ostrea vaquerosensis Loel and Corey	Genus, 60N-5S
			
23-17 Ma	Crenella cf. C. porterensis Weaver	Crenella cf. C. porterensis Weaver	Genus, 71N-4S; intertidal to 458 m
5 Ma-H	Crenella decussata (Montagu)	Crenella decussata (Montagu)	71N-3.5S; intertidal to 200 m
13 Ma-H	Crenella divaricata (d’Orbigny)	Crenella inflata Carpenter	34N-2S; 4 to 450 m
			
13 Ma-H	Crenella divaricata (d’Orbigny)	Crenella inflata (Carpenter)	34N-2S
N.D.	Crenella sp.	Crenella sp.	Genus, 71N-4S; intertidal to 458 m
8? or 5 Ma-H	Crepidula aculeata (Gmelin)	Crepidula aculeata (Gmelin)	34N-34S, through Gulf of California; intertidal, on
			rocks or shells
13 Ma-H	Crepidula adunca Sowerby	Crepidula adunca Sowerby	48N-23N; on gastropod shells, protected outer
			coasts, intertidal
17-13 Ma	Crepidula bractea Addicott	Crepidula bractea Addicott	Genus, 72N-5S; intertidal to 168 m
17-5 Ma	Crepidula cf. C. aculeata (Gmelin)	Crepidula cf. C. aculeata (Gmelin)	34N-34S, through Gulf of California; sublittoral zone
5 Ma-H	Crepidula cf. C. excavata Sowerby	Crepidula cf. C. excavata Sowerby	37N-8N; on other shells, especially Polinices spp.
27-23 Ma	Crepidula diminutiva Loel and Corey	Crepidula diminutiva Loel and Corey	Genus, 72N-5S
8 Ma-H	Crepidula nummaria Gould	Crepidula navicelloides Nuttall	65N-23N
8 Ma-H	Crepidula nummaria Gould	Crepidula nummaria Gould	65N-23N
13 Ma-H	Crepidula onyx Sowerby	Crepidula onyx Sowerby	34N-3S; bays and lagoons, intertidal to 70 m
13-8 Ma	Crepidula pabloensis Clark	Crepidula pabloensis Clark	Genus, 72N-5S; intertidal to 168 m
5 Ma-H	Crepidula perforans Valenciennes	Crepidula perforans Valenciennes	65N-23N (?)
27-2.5 Ma	Crepidula princeps Conrad	Crepidula cf. C. praerupta Conrad	Genus, 72N-5S
27-2.5 Ma	Crepidula princeps Conrad (following Hoagland	Crepidula princeps Conrad	Genus, 72N-5S
	[1977] 4 C. praerupta)		
23-8 Ma	Crepidula rostralis (Conrad)	Crepidula praerupta Conrad	Genus, 72N-5S
23-8 Ma	Crepidula rostralis (Conrad)	Crepidula rostralis Conrad	Genus, 72N-5S
23-8 Ma	Crepidula rostralis (Conrad)	Crepidula rostrata Conrad	Genus, 72N-5S
N.D.	Crepidula sp.	lanacus? sp.	Genus, 72N-5S
N.D.	Crepidula sp.	Crepidula sp.	Genus, 72N-5S
5 Ma-H	Crepipatella cf. C. dorsata (Broderip) (McLean, 1996)	Crepipatella cf. C. lingulata (Gould)	60N-8N; genus, intertidal to 180 m, on rocks
			
17 Ma-H	Crucibulum (Crucibulum) cf. C. (C.) scutellatum	Crucibulum? cf. C. imbricatum (Sowerby)	28N-3S, through Gulf of California; intertidal mudflats to offshore 27 m
	(Wood)		
17 Ma-H	Crucibulum (Crucibulum) cf. C. (C.) scutellatum (Wood)	Crucibulum cf. C. scutellatum (Wood)	28N-3S, through Gulf of California
			
N.D.	Crucibulum (Crucibulum) sp.	Crucibulum sp.	Subgenus, 28N-Chile, through Gulf of California
17-13 Ma	Crucibulum (Dispotaea) papulum Addicott	Crucibulum (Dispotaea) papulum Addicott	Subgenus, 24N-3S
N.D.	Crucibulum sp.	Crucibulum (Disptaea) n.sp.	Genus, 42N-6S or Chile
N.D.	Crucibulum sp.?	Crucibulum (Disptaea) n.sp.	Genus, 42N-6S or Chile; intertidal mudflatss, on rocks to 55 m
			
23? or 13 Ma-H	Crucibulum spinosum (Sowerby)	Crucibulum spinosum Sowerby	42N-Chile; intertidal, rocks and shells; offshore to 55 m
			
13 Ma-H	Cryptomya californica (Conrad)	Cryptomya californica (Conrad)	59.5N-5.8S; burrowing in sand, associated with Callianassa
			
13 Ma-H	Cryptomya californica (Conrad)	Cryptomya californica magna Dall	60N-6S; common in bays and sublittoral zone of open coast
			
13 Ma-H	Cryptomya californica (Conrad)	Cryptomya ovalis Conrad	60N-6S; intertidal to 80 m
13 Ma-H	Cryptomya californica (Conrad)	Cryptomya quadrata Arnold	60N-6S
13 Ma-H	Cryptomya californica (Conrad)	Cryptomya quadrata Carpenter	60N-6S
13 Ma-H	Cryptomya californica (Conrad)	Macoma kerica Hendrickson	60N-6S
13 Ma-H	Cryptomya californica (Conrad)	Mya (Cryptomya) ovalis Conrad	60N-6S
13 Ma-H	Cryptomya californica (Conrad)	Mya ovalis (Conrad)	60N-6S
N.D.	Cryptomya sp.	Cryptomya sp.	Genus, 60N-6S; intertidal to 80 or 92 m
13? or 5-2.5 Ma	Cryptopleura (Scobinopholas) costata (Linnaeus)	Barnea costata Linnaeus	Genus, 28N-4S, Pacific; species, 42N-24N, Atlantic; mud
			
N.D.	Ctena n.sp. Powell	Ctena n.sp. Powell	Genus, 31N-2S; intertidal to 120 m
13 Ma-H	Ctenoides floridana Olsson and Harbison	Ctenoides floridana Olsson and Harbison	Genus, 35N-15N Atlantic; deep water, e.g., 220 m
			
8 Ma-H	Cumingia californica Conrad	Cumingia californica Conrad	41.8N-26.3N; intertidal to 65 m, in rock crevices and gravel
			
8 Ma-H	Cumingia californica Conrad	Cumingia californica Conrad?	42N-26N
			
N.D.	Cumingia sp.	Cumingia sp.	Genus, 37N-3S
N.D.	Cyathodonta sp.	Cyathodonta sp.	Genus, 37N-4S; 25 m to 73 m
13? or 5 Ma-H	Cyathodonta undulata (Conrad)	Cyathodonta undulata (Conrad)	31N-4S; 3 m to 110 m
13? or 5 Ma-H	Cyathodonta undulata (Conrad)	Cyathodonta undulata Conrad	31N-4S
13? or 5 Ma-H	Cyclinella cyclica (Guppy)	Cyclinella cyclica (Guppy)	Genus, 27N-9S, Pacific; species, 35N-15N, Atlantic; to 30 m
